,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,100.0,29900.0,299.0,"정제수,다이프로필렌글라이콜,네오펜틸글라이콜다이헵타노에이트,글리세레스-26,1&2-헥산다이올,나이아신아마이드,솔비톨,하이드록시에틸우레아,아보카도오일,멕시칸치아씨추출물,바질꽃/잎/줄기추출물,베타인,귀리커넬추출물,부틸렌글라이콜,흰서양송로추출물,글리세린,해바라기씨오일,토코페릴아세테이트,다이소듐이디티에이,다이포타슘글리시리제이트,아데노신,소듐팔미토일프롤린,비피다발효용해물,알바수련꽃추출물,하이드롤라이즈드하이알루로닉애씨드,돌콩오일,스노우로투스추출물,인삼추출물,연꽃꽃추출물,뽕나무껍질추출물,마돈나백합꽃추출물,에델바이스추출물,약모밀추출물,프리지어추출물,카보머,데이지꽃추출물,알지닌,포타슘솔베이트,아나토씨오일,토코페롤,향료,리날룰,헥실신남알,리모넨,시트로넬올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017131210ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171312&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
1,아벤느 오 떼르말 300ml 2입 기획,300.0,34000.0,113.33,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001049822ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010498&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
2,쏘내추럴 올 데이 메이크업 픽서 120ml,120.0,24000.0,200.0,"정제수,폴리에스터-5,변성알코올,하이드롤라이즈드밀단백질,소듐하이알루로네이트,레몬추출물,서양톱풀추출물,아르니카몬타나꽃추출물,쓴쑥추출물,겐티아나뿌리추출물,티트리잎추출물,병풀추출물,프로판다이올,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,옥틸도데세스-16,에틸헥실글리세린,판테놀,에탄올,페녹시에탄올,소듐벤조에이트,포타슘솔베이트,향료,리모넨",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013876205ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138762&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
3,닥터자르트 시카페어 페이셜 카밍 미스트 150ml,150.0,20000.0,133.33,"정제수,프로판디올,카라기난추출물,사탕수수추출물,라벤더오일,로즈마리잎오일,왕귤껍질오일,캐모마일꽃오일,해수,초피나무열매추출물,서양톱풀추출물,성모초추출물,트루로즈오브예리코추출물,말로우추출물,레몬밤잎추출물,페퍼민트잎추출물,카우슬립추출물,꼬리풀추출물,어성초추출물,병풀추출물,락토바실러스발효물,제충국꽃추출물,레몬유칼립투스오일,마데카소사이드,글리세린,부틸렌글라이콜,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,디프로필렌글라이콜,옥틸도데세스-16,디포타슘글리시리제이트,에칠헥실글리세린,소듐시트레이트,시트릭애씨드,판테놀,아시아티코사이드,소듐피씨에이,아시아틱애씨드,하이드로제네이티드레시틴,마데카식애씨드,마그네슘피씨에이,1&2-헥산다이올,징크피씨에이,피이지-40하이드로제네이티드캐스터오일,망가니즈피씨에이,소듐하이알루로네이트,디소듐이디티에이,페녹시에탄올,포타슘소르베이트,리모넨,리날룰,제공된성분은동일제품이라도경우에따라변경될수있습니다.최신정보는제품포장의성분을참고하시거나닥터자르트고객만족센터으로연락부탁드립니다.",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011550002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115500&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
4,달바 화이트 트러플 바이탈 스프레이 세럼 100ml,100.0,29000.0,290.0,"정제수,세틸에틸헥사노에이트,1&2-헥산다이올,다이프로필렌글라이콜,글리세레스-26,폴리프로필실세스퀴옥세인,흰서양송로추출물,부틸렌글라이콜,하이드록시에틸우레아,지치뿌리추출물,마카다미아씨오일,베타인,아보카도오일,로즈힙열매오일,카프릴릭/카프릭트라이글리세라이드,석류추출물,다이포타슘글리시리제이트,다이소듐이디티에이,토코페롤,아데노신,사카라이드아이소머레이트,센티드제라늄꽃오일,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,한련초추출물,자일리틸글루코사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,안하이드로자일리톨,개똥쑥추출물,연꽃꽃추출물,쌀추출물,효모발효물,장미꽃오일,자일리톨,글리세린,인도멀구슬나무잎추출물,라벤더꽃추출물,캐모마일꽃추출물,녹차추출물,유칼립투스잎추출물,히비스커스꽃추출물,레몬밤추출물,올리브나무잎추출물,로즈마리잎추출물,포트마리골드꽃추출물,레몬그라스추출물,커먼자스민추출물,애플민트잎추출물,살비아추출물,티트리추출물,페퍼민트잎추출물,글루코오스,시트릭애씨드,소듐시트레이트,드럼스틱씨오일,세룰라타벚나무꽃추출물,소듐하이알루로네이트,오레가노추출물,타임꽃/잎/줄기추출물,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,향료,시트로넬올,리날룰,제라니올,리모넨,헥실신남알,시트랄",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014245715ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000142457&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
5,바이오힐보 판테놀시카 배리어 크림미스트 120ml,120.0,17000.0,141.67,"정제수,글리세린,사이클로펜타실록세인,에틸헥실팔미테이트,펜틸렌글라이콜,세테아릴에틸헥사노에이트,메틸글루세스-10,나이아신아마이드,변성알코올,부틸렌글라이콜,아이리쉬모스추출물,사탕수수추출물,지모뿌리추출물,병풀추출물,베타인,1&2-헥산다이올,판테놀,피토스테릴/옥틸도데실라우로일글루타메이트,피이지-20글리세릴아이소스테아레이트,소듐시트레이트,아데노신,시트릭애씨드,폴리글루타믹애씨드,하이드로제네이티드폴리아이소부텐,마데카소사이드,다이프로필렌글라이콜,토코페롤,카프릴릴/카프릴글루코사이드,에틸헥실글리세린,하이드로제네이티드레시틴,세라마이드엔피,피토스테롤,다이소듐이디티에이,페녹시에탄올,향료",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014797906ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147979&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
6,에스트라 아토베리어365 크림미스트 120ml,120.0,18000.0,150.0,"정제수,글리세린,부틸렌글라이콜,카프릴릭/카프릭트리글리세라이드,하이드로제네이티드폴리,디메치콘,세틸에칠헥사노에이트,하이드록시프로필비스라우라마이드엠이에이,1&2-헥산다이올,소듐서팩틴,콜레스테롤,글리세릴카프릴레이트,디소듐디티,에이,에칠헥실글리세린,베헤닉애씨드,토코페롤",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013013810ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130138&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
7,차앤박 프로폴리스 에너지 앰플 미스트 250ml,250.0,25000.0,100.0,"정제수,프로판다이올,글리세린,1&2-헥산다이올,다이메티콘,소듐시트레이트,부틸렌글라이콜,베타인,하이드로제네이티드레시틴,솔비톨,피이지-60하이드로제네이티드캐스터오일,솔비탄세스퀴올리에이트,시트릭애씨드,센티드제라늄꽃오일,펜틸렌글라이콜,다이소듐이디티에이,프로폴리스추출물,하이알루로닉애씨드,판테놀,하이드록시페닐프로파미도벤조익애씨드,글루코노락톤,락토바이오닉애씨드,판토락톤,아스코빌팔미테이트,시트로넬올,제라니올,리날룰",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016651002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166510&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
8,아벤느 오 떼르말 더블 기획,150.0,25000.0,166.67,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001050711ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010507&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
9,아벤느 오 떼르말 50ml,50.0,10000.0,200.0,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001669406ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016694&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
10,차앤박 프로폴리스 앰플 미스트 더블기획,500.0,25000.0,50.0,"정제수,프로판다이올,글리세린,1&2-헥산다이올,다이메티콘,소듐시트레이트,부틸렌글라이콜,베타인,하이드로제네이티드레시틴,솔비톨,피이지-60하이드로제네이티드캐스터오일,솔비탄세스퀴올리에이트,시트릭애씨드,센티드제라늄꽃오일,펜틸렌글라이콜,다이소듐이디티에이,프로폴리스추출물,하이알루로닉애씨드,판테놀,하이드록시페닐프로파미도벤조익애씨드,글루코노락톤,락토바이오닉애씨드,판토락톤,아스코빌팔미테이트,시트로넬올,제라니올,리날룰",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016160905ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161609&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
11,쏘내추럴 올 데이 메이크업 픽서 75ml 기획,90.0,18000.0,200.0,",정제수,폴리에스터-5,변성알코올,하이드롤라이즈드밀단백질,소듐하이알루로네이트,레몬추출물,서양톱풀추출물,아르니카몬타나꽃추출물,쓴쑥추출물,큰노랑용담뿌리추출물,티트리잎추출물,병풀추출물,프로판다이올,폴리글리세릴-2올리에이트,피이지-60하이드로제네이티드캐스터오일,옥틸도데세스-16,에틸헥실글리세린,판테놀,에탄올,페녹시에탄올,소듐벤조에이트,포타슘솔베이트,향료,리모넨,젤픽서,정제수,연꽃꽃수,부틸렌글라이콜,글리세린,1&2-헥산다이올,메틸글루세스-20,글리세레스-26,하이드록시프로필스타치,완두콩추출물,하이드롤라이즈드완두콩단백질,베타인,폴리글리세릴-10라우레이트,알지닌,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,소듐아크릴레이트크로스폴리머-2,알란토인,카프릴릴글라이콜,에틸헥실글리세린,메틸다이아이소프로필프로피온아마이드,다이소듐이디티에이,실리카,칡뿌리추출물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃꽃추출물",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018108008ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181080&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
12,아벤느 오 떼르말 300ml*2 + 50ml 기획,650.0,34000.0,52.31,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017349303ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173493&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
13,이즈앤트리 히아루론산 워터 미스트,100.0,16500.0,165.0,"정제수,프로판다이올,1&2-헥산다이올,카프릴릭/카프릭트라이글리세라이드,폴리글리세릴-10라우레이트,솔비탄세스퀴올리에이트,소듐하이알루로네이트,에틸헥실글리세린,펜틸렌글라이콜,트레할로오스,병풀추출물,베타인,베타-글루칸,소듐피씨에이,포도즙추출물,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드하이알루로닉애씨드,자일리틸글루코사이드,안하이드로자일리톨,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,센티드제라늄꽃오일,알란토인,자일리톨,시트로넬올,리날룰,리모넨,제라니올,시트랄,히아루론산1%솔루션10%함유",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017968510ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179685&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
14,바이오힐보 판테놀시카90 블레미쉬 진정미스트 80ml,80.0,12000.0,150.0,"병풀추출물,2,3-부탄다이올,메틸프로판다이올,정제수,쇠비름추출물,무화과추출물,다시마추출물,당느릅나무뿌리추출물,알로에베라잎추출물,제비꽃꽃추출물,참마뿌리추출물,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,병풀뿌리추출물,병풀잎추출물,메도우폼씨오일,하이드로제네이티드레시틴,판테놀,글리세린,소듐시트레이트,시트릭애씨드,다이소듐이디티에이,폴리글리세릴-10스테아레이트,베타인,부틸렌글라이콜,세라마이드엔피,효모발효물,아시아티코사이드,마데카소사이드,마데카식애씨드,아시아틱애씨드,1&2-헥산다이올,하이드록시아세토페논",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016643601ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166436&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
15,올리세 퓨어워터미스트400ml,400.0,9900.0,24.75,"aqua,nitrogen",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0011/A00000011716309ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000117163&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
16,자트인사이트 울트라 셋팅 진짜 픽서 110ml,110.0,19900.0,180.91,"정제수,변성알코올,부틸렌글라이콜,폴리에스터-5,다이에톡시에틸석시네이트,1&2-헥산다이올,판테놀,피이지-40하이드로제네이티드캐스터오일,카프릴릴글라이콜,육틸도대세스-16,스타아니스추출물,다이소듐이디티에이,병풀추출물,호장근뿌리추출물,황금추출물,녹차추출물,스페인감초뿌리추출물,녹두씨추출물,석류추출물,마트리카리아꽃추출물,로즈마리잎추출물,클로페네신,향료",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016143705ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161437&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
17,오우썸 리하이드레이팅 더블 미스트 세럼 120ml,120.0,18500.0,154.17,"알로에베라잎추출물,사과추출물,토마토열매/잎/줄기추출물,호호바씨오일,매실수,녹차추출물,알파-비사보롤,황금추출물,모란뿌리추출물,스페인감초뿌리추출물,밤부사불가리스잎/줄기추출물,모하비유카뿌리추출물,은행나무잎추출물,지치뿌리추출물,베르가모트오일,로즈우드오일,카프릴릭/카프릭트리글리세라이드,웨스트오스트레일리아산달우드목부오일,라벤더오일,다마스크장미꽃오일,제라니올,파네솔,리날룰,시트로넬올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001514505ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000015145&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
18,바이오힐보 판테놀시카 배리어 크림미스트 더블기획,240.0,34000.0,141.67,"정제수,글리세린,사이클로펜타실록세인,에틸헥실팔미테이트,펜틸렌글라이콜,세테아릴에틸헥사노에이트,메틸글루세스-10,나이아신아마이드,변성알코올,부틸렌글라이콜,아이리쉬모스추출물,사탕수수추출물,지모뿌리추출물,병풀추출물,베타인,1&2-헥산다이올,판테놀,피토스테릴/옥틸도데실라우로일글루타메이트,피이지-20글리세릴아이소스테아레이트,소듐시트레이트,아데노신,시트릭애씨드,폴리글루타믹애씨드,하이드로제네이티드폴리아이소부텐,마데카소사이드,다이프로필렌글라이콜,토코페롤,카프릴릴/카프릴글루코사이드,에틸헥실글리세린,하이드로제네이티드레시틴,세라마이드엔피,피토스테롤,다이소듐이디티에이,페녹시에탄올,향료",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015387905ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153879&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
19,유리아쥬 오 떼르말 더블 기획,600.0,31500.0,52.5,온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014922102ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149221&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
20,라로슈포제 세로징크 세범 컨트롤 토닝 미스트 150ml,150.0,17000.0,113.33,"정제수,소듐클로라이드,징크설페이트",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016573814ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165738&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
21,라로슈포제 오떼르말 온천수 미스트 300ml,300.0,29000.0,96.67,정제수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017918602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179186&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
22,브로앤팁스 네버오일리 스킨 미스트 100ml,100.0,15000.0,150.0,"정제수,1&2-헥산다이올,마그네슘설페이트,소듐클로라이드,칼슘클로라이드,부틸렌글라이콜,글리세릴카프릴레이트,다이소듐이디티에이,에틸헥실글리세린,콘민트잎추출물,아데노신,망가니즈설페이트,트로메타민,퀴노아씨추출물,씨솔트,징크설페이트,프로판다이올,소듐하이알루로네이트,편백잎추출물,아스코빌글루코사이드,하이드롤라이즈드하이알루로닉애씨드,토코페롤,소듐하이알루로네이트크로스폴리머,하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001435813ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014358&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
23,꼬달리 뷰티 엘릭시르 미스트 30ml,30.0,29000.0,966.67,"정제수,포도수,비터오렌지꽃수,글리세린,메칠프로판디올,글라이콜릭애씨드,소듐하이드록사이드,포도즙,카프릴릴글라이콜,시트릭애씨드,알지닌,소듐벤조에이트,작약추출물,페닐프로판올,포타슘소르베이트,소듐파이테이트,리날룰,리모넨",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001468602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014686&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
24,블랙몬스터 화이트 스킨미스트 300ml,300.0,19000.0,63.33,"유칼립투스잎추출물,정제수,프로판다이올,1,2-헥산다이을,부틸렌글라이콜,나이아신아마이드,다이프로필렌글라이콜,글루타티온,소듐하이알루로네이트,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,소듐하이알루로네이트크로스폴리머,펜틸렌글라이콜,소듐아세틸레이티드하이알루로네이트,3-0-에틸아스코빅애씨드,판테놀,사이아노코발아민,토코페롤,해바라기씨오일,바이오틴,글리세레스-25피씨에이아이소스테아레이트,에틸헥실글리세린,향료,다이소듐이디티에이,연필향나무오일,말토덱스트린,소듐시트레이트,시트릭애씨드",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001048602ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010486&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
25,차앤박 프로폴리스 에너지 앰플 미스트 100ml,100.0,15000.0,150.0,"정제수,프로판다이올,글리세린,1&2-헥산다이올,다이메티콘,소듐시트레이트,부틸렌글라이콜,베타인,하이드로제네이티드레시틴,솔비톨,피이지-60하이드로제네이티드캐스터오일,솔비탄세스퀴올리에이트,시트릭애씨드,센티드제라늄꽃오일,펜틸렌글라이콜,다이소듐이디티에이,프로폴리스추출물,하이알루로닉애씨드,판테놀,하이드록시페닐프로파미도벤조익애씨드,글루코노락톤,락토바이오닉애씨드,판토락톤,아스코빌팔미테이트,시트로넬올,제라니올,리날룰",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016888606ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168886&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
26,라운드랩 1025 독도 미스트 150ml,150.0,18000.0,120.0,"정제수,프로판다이올,부틸렌글라이콜,글리세린,펜틸렌글라이콜,1&2-헥산다이올,해수,판테놀,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,글리세릴글루코사이드,다이포타슘글리시리제이트,자일리톨,바실러스발효물,마이크로코쿠스용해물,베타인,알란토인,클로렐라불가리스추출물,글루코오스,프룩토올리고사카라이드,프룩토오스,소듐피씨에이,에틸헥실글리세린,소듐파이테이트,폴리글리세릴-2올리에이트,트로메타민,토코페롤,카보머,분사제:질소",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016652901ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166529&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
27,마녀공장 비피다 앰플 영양 미스트 120ml,120.0,22000.0,183.33,"작약뿌리추출물,비피다발효용해물,락토바실러스/호박열매발효여과물,부틸렌글라이콜,글리세린,소듐하이알루로네이트,락토바실러스/콩발효추출물,진흙버섯추출물,아세틸헥사펩타이드-8,흑효모발효물,팔미토일다이펩타이드-10,팔미토일트라이펩타이드-1,코르텔루스쉬이타케추출물,스페인감초뿌리추출물,구름버섯추출물,카퍼트라이펩타이드-1,알란토인,판테놀,꽈리열매추출물,홍차추출물,보이차추출물,에피갈로카테킨갈레이트,홍삼추출물,인삼추출물,알진,당개나리열매추출물,마뿌리추출물,메틸글루세스-20,카페인,카프릴릴글라이콜,황금추출물,스타아니스추출물,아데노신",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014993801ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149938&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
28,리엔케이 래디언스 볼륨 미스트 세럼 120ml,120.0,18000.0,150.0,"정제수,다이프로필렌글라이콜,메틸프로판다이올,1&2-헥산다이올,나이아신아마이드,글리세린,쇠비름추출물,병풀추출물,무화과추출물,하이드롤라이즈드콜라겐추출물,콜라겐추출물,하이드로제네이티드레시틴,소듐하이알루로네이트,옥틸도데세스-16,소듐아크릴릭애씨드/엠에이코폴리머,소듐시트레이트,부틸렌글라이콜,아데노신,시트릭애씨드,다이소듐이디티에이,하이드롤라이즈드콜라겐,세라마이드엔피,콜라겐아미노산,에틸헥실팔미테이트,이눌린,하이드롤라이즈드엘라스틴,다이메틸실란올하이알루로네이트,류코노스톡/무발효여과물,하이드롤라이즈드소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트다이메틸실란올,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,하이알루로닉애씨드,글루코만난,노나펩타이드-1,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,소듐아세틸레이티드하이알루로네이트,아세틸헥사펩타이드-8,카퍼트라이펩타이드-1,트라이펩타이드-1,트라이하이드록시스테아린,팔미토일테트라펩타이드-7,팔미토일트라이펩타이드-1,팔미토일트라이펩타이드-5,팔미토일펜타펩타이드-4,팔미토일헥사펩타이드-12,펜타펩타이드-3,헥사펩타이드-9,향료,에틸헥실글리세린,카프릴릴글라이콜",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015481901ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154819&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
29,아벤느 오떼르말 300ml,300.0,26000.0,86.67,아벤느온천수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015044707ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150447&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
30,에비앙 브뤼미자뙤르 페이셜미스트 50ml,50.0,7000.0,140.0,천연빙하수,mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015228002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152280&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
31,자트인사이트 콘스탄티 엘레강스 픽서 50ml,50.0,11900.0,238.0,"정제수,글리세린,메칠프로판디올,폴리에스터-5,판테놀,펜틸렌글라이콜,프로판디올,변성알코올,클로페네신,녹두추출물,승마추출물,페퍼민트잎추출물,석류추출물,감초추출물,생강추출물,오미자추출물,황련추출물,녹차추출물,부틸렌글라이콜,1&2-헥산다이올,프로폴리스왁스,디소듐이디티에이,카프릴릴글라이콜,에칠헥실글리세린,페녹시에탄올",mist_fixer,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017836303ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178363&dispCatNo=1000001000100100001&trackingCd=Cat1000001000100100001_Small
