,이름,용량,가격,1ml당 가격,성분,종류,img_src,href
0,우르오스 스킨로션 200ml,200.0,29700.0,148.5,"정제수,에탄올,펜틸렌글라이콜,글리세린,베타인,피이지-6,피이지-32,아데노신포스페이트,소듐하이드록사이드,소듐다이라우미도글루타미드라이신,피피지-6-데실테트라데세스-30,알진,시트릭애씨드,소듐하이알루로네이트,스타아니스열매/씨오일,서양측백나무잎오일,아틀라스시다나무껍질오일,라반딘오일,라임전초오일,페퍼민트오일,구주소나무잎오일,로즈마리잎오일,페녹시에탄올,터펜틴,리날룰",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0000/A00000000656407ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006564&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
1,아이디얼 포맨 퍼펙트올인원밀크 기획,180.0,29000.0,161.11,"정제수,글리세린,메틸트라이메티콘,메틸프로판다이올,에틸헥실스테아레이트,에탄올,1&2-헥산다이올,나이아신아마이드,하이드로제네이티드폴리,폴리글리세릴-3다이스테아레이트,다시마추출물,한련초잎추출물,병풀추출물,무화과추출물,올레라케아아크멜라추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,슈도알테로모나스발효추출물,플랑크톤추출물,하이드로제네이티드레시틴,아르간커넬오일,글리세릴스테아레이트,트레할로오스,알지닌,카보머,글리세릴스테아레이트시트레이트,부틸렌글라이콜,판테놀,소듐스테아로일글루타메이트,아데노신,다이메티콘,베헤닐알코올,스쿠알란,하이드로제네이티드폴리아이소부텐,세테아릴알코올,다이소듐이디티에이,베타인,프룩토올리고사카라이드,아이소노닐아이소노나노에이트,폴리글리세릴-10스테아레이트,글리세릴스테아레이트에스이,베타-글루칸,스테아릭애씨드,시어버터,폴리글리세릴-2다이폴리하이드록시스테아레이트,콜레스테롤,하이드롤라이즈드하이알루로닉애씨드,세라마이드엔피,이눌린라우릴카바메이트,잔탄검,다이소듐스테아로일글루타메이트,세린,알라닌,프롤린,해수,소듐포스페이트,마데카소사이드,소듐하이드록사이드,아세틸헥사펩타이드-8,에틸헥실글리세린,카프릴릴글라이콜,향료,부틸페닐메틸프로피오날,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017861705ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178617&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
2,아이디얼 포맨 프레시 올인원 기획,150.0,28000.0,186.67,"정제수,메틸프로판다이올,다이프로필렌글라이콜,1&2-헥산다이올,나이아신아마이드,아이소헥사데칸,세테아릴에틸헥사노에이트,검정콩추출물,티트리추출물,흰버드나무껍질추출물,귀리커넬추출물,봉의꼬리추출물,아티초크잎추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,검은깨추출물,율무씨추출물,흑미추출물,플랑크톤추출물,녹차수,소듐하이알루로네이트,하이드로제네이티드레시틴,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,글리세린,부틸렌글라이콜,에틸헥실글리세린,알란토인,소듐아크릴릭애씨드/엠에이코폴리머,소듐아크릴레이트코폴리머,카프릴릭/카프릭트라이글리세라이드,프로테아제,다이포타슘글리시리제이트,에탄올,폴리쿼터늄-51,베타-글루칸,카프릴릴글라이콜,레시틴,매스틱검,다이메틸실란올하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,산소,트로폴론,포타슘하이알루로네이트,하이알루로닉애씨드,해수,소듐하이알루로네이트크로스폴리머,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트다이메틸실란올,소듐아세틸레이티드하이알루로네이트,마데카소사이드,향료,부틸페닐메틸프로피오날,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014854409ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148544&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
3,아이디얼 포맨 시카 올인원 기획,150.0,30000.0,200.0,"병풀잎추출물,정제수,프로판다이올,에틸헥실스테아레이트,나이아신아마이드,메틸트라이메티콘,메틸프로판다이올,1&2-헥산다이올,병풀추출물,무화과추출물,캐모마일꽃추출물,약모밀추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,병풀뿌리추출물,플랑크톤추출물,티트리잎오일,하이드로제네이티드레시틴,글리세릴스테아레이트,판테놀,세테아릴알코올,솔비탄스테아레이트,부틸렌글라이콜,카보머,소듐스테아로일글루타메이트,알란토인,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,잔탄검,트로메타민,아데노신,다이소듐이디티에이,4-터피네올,효모발효물,세라마이드엔피,아시아티코사이드,마데카소사이드,해수,마데카식애씨드,아시아틱애씨드,에틸헥실글리세린,향료",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014812307ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148123&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
4,무슈제이 베이직 아쿠아 올인원 1+1 기획,400.0,22900.0,57.25,"정제수,부틸렌글라이콜,글리세린,나이아신아마이드,부틸렌글라이콜다이카프릴레이트/다이카프레이트,스쿠알란,아데노신,판테놀,병풀추출물,편백잎추출물,아세틸헥사펩타이드-8,황금추출물,호장근뿌리추출물,스페인감초뿌리추출물,소듐하이알루로네이트,녹차추출물,다이포타슘글리시리제이트,하이드로제네이티드레시틴,포스파티딜콜린,로즈마리잎추출물,마트리카리아꽃추출물,카프릴릴글라이콜,세라마이드엔피,다이메티콘,아이소헥사데칸,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,에틸헥실글리세린,폴리솔베이트60,토코페릴아세테이트,다이소듐이디티에이,솔비탄아이소스테아레이트,1&2-헥산다이올,페녹시에탄올,향료",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017689904ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176899&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
5,우르오스 스킨밀크 200ml,200.0,29700.0,148.5,"정제수,글리세린,하이드로제네이티드폴리,에탄올,폴리글리세릴-10아이소스테아레이트,아데노신포스페이트,하이드록시프로필사이클로덱스트린,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,부틸렌글라이콜,글리세릴카프릴레이트,폴리글리세릴-10스테아레이트,소듐아이소스테아로일락테이트,소듐락테이트,소듐하이드록사이드,클로브꽃추출물,사철쑥꽃추출물,스타아니스열매/씨오일,서양측백나무잎오일,아틀라스시다나무껍질오일,라반딘오일,라임전초오일,페퍼민트오일,구주소나무잎오일,로즈마리잎오일,터펜틴,리날룰,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0000/A00000000656507ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006565&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
6,플리프 시카-알로에 카밍 올인원 로션,250.0,24000.0,96.0,"알로에베라잎추출물,부틸렌글라이콜,병풀추출물,글리세린,나이아신아마이드,카프릴릭/카프릭트라이글리세라이드,C13-15알케인,베타인,세테아릴올리베이트,솔비탄올리베이트,세테아릴알코올,스쿠알란,프로판다이올,녹차추출물,베타-글루칸,시트릭애씨드,마카다미아씨오일,하이드로제네이티드레시틴,폴리글리세릴-10올리에이트,다이프로필렌글라이콜,아시아티코사이드,마데카식애씨드,아시아틱애씨드,세라마이드엔피,피버퓨추출물,하이드롤라이즈드타피오카덩이줄기추출물,여주열매추출물,락토바실러스발효물,망고추출물,얼룩파인애플추출물,실리카,암모늄폴리아크릴로일다이메틸타우레이트,판테놀,잔탄검,다이소듐이디티에이,다이포타슘글리시리제이트,알란토인,1&2-헥산다이올,하이드록시아세토페논,에틸헥실글리세린",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014584012ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145840&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
7,포맨트 시그니처 올인원 에센스 모이스처 플러스 150ml,150.0,29000.0,193.33,"정제수,부틸렌글라이콜,글리세린,글리세레스-26,메틸프로판다이올,나이아신아마이드,스쿠알란,폴리글리세릴-4카프레이트,트레할로오스,글리세레스-25피씨에이아이소스테아레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,카프릴릴글라이콜,암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머,펜틸렌글라이콜,하이드록시아세토페논,카프릴릭/카프릭트라이글리세라이드,다이메티콘/비닐다이메티콘크로스폴리머,1&2-헥산다이올,향료,하이드로제네이티드레시틴,에틸헥실글리세린,올리브오일,아데노신,시어버터,소듐하이알루로네이트,잔탄검,다이소듐이디티에이,실리카,세라마이드엔피,병풀추출물,황금추출물,호장근뿌리추출물,마트리카리아꽃추출물,로즈마리잎추출물,대왕송잎추출물,칡뿌리추출물,당느릅나무뿌리추출물,달맞이꽃추출물,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐아세틸레이티드하이알루로네이트,팔미토일트라이펩타이드-5,팔미토일펜타펩타이드-4,팔미토일트라이펩타이드-1,팔미토일올리고펩타이드,팔미토일테트라펩타이드-7,트라이펩타이드-1,헥사펩타이드-9,노나펩타이드-1,아세틸테트라펩타이드-2,카퍼트라이펩타이드-1,아세틸헥사펩타이드-8",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015599502ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155995&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
8,아크네스 포맨 퍼펙트 올인원 크림 200ML,200.0,28000.0,140.0,"정제수,글리세린,에틸헥실스테아레이트,1&2-헥산다이올,세테아릴알코올,나이아신아마이드,페닐트라이메티콘,폴리글리세릴-3다이스테아레이트,운데케인,메틸트라이메티콘,다시마추출물,한련초잎추출물,병풀추출물,무화과추출물,올레라케아아크멜라추출물,프랑스해안송껍질/싹추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,삼나무잎추출물,연꽃잎추출물,작약나무껍질/수액추출물,프랑스해안송껍질추출물,하이드로제네이티드레시틴,해바라기씨오일,소듐하이알루로네이트,트라이데케인,글리세릴스테아레이트,부틸렌글라이콜,소듐스테아로일글루타메이트,카보머,알지닌,글리세릴스테아레이트시트레이트,베타인,아데노신,베헤닐알코올,다이소듐이디티에이,글리세릴스테아레이트에스이,알란토인,프룩토올리고사카라이드,사카라이드아이소머레이트,베타-글루칸,콜레스테롤,효모발효여과물,세라마이드엔피,하이드롤라이즈드하이알루로닉애씨드,에틸헥실팔미테이트,토코페롤,자일리틸글루코사이드,안하이드로자일리톨,자일리톨,글루코노락톤,마데카소사이드,소듐시트레이트,시트릭애씨드,글루코오스,트라이하이드록시스테아린,글루코만난,에틸헥실글리세린",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016682205ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166822&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
9,라운드랩 포 맨 1025 독도 올인원 플루이드 200ml 더블 기획,400.0,43000.0,107.5,"정제수,다이프로필렌글라이콜,카프릴릴메티콘,하이드로제네이티드폴리,메틸프로판다이올,1&2-헥산다이올,카프릴릭/카프릭트라이글리세라이드,글리세린,해수,부틸렌글라이콜,하이드로제네이티드레시틴,토코페롤,연꽃꽃추출물,효모발효물,개똥쑥추출물,쌀추출물,판테놀,소듐폴리아크릴로일다이메틸타우레이트,팔미틱애씨드,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,에틸헥실글리세린,폴리글리세릴-2스테아레이트,C14-22알코올,글루코오스,글루코노락톤,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,글리세릴스테아레이트,C12-16알코올,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,C12-20알킬글루코사이드,카프릴릴글라이콜,스테아릴알코올,잔탄검,트로메타민,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018322901ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183229&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
10,라운드랩 포 맨 1025 독도 올인원 플루이드 200ml,200.0,24000.0,120.0,"정제수,다이프로필렌글라이콜,카프릴릴메티콘,하이드로제네이티드폴리,메틸프로판다이올,1&2-헥산다이올,카프릴릭/카프릭트라이글리세라이드,글리세린,해수,부틸렌글라이콜,하이드로제네이티드레시틴,토코페롤,연꽃꽃추출물,효모발효물,개똥쑥추출물,쌀추출물,판테놀,소듐폴리아크릴로일다이메틸타우레이트,팔미틱애씨드,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트,에틸헥실글리세린,폴리글리세릴-2스테아레이트,C14-22알코올,글루코오스,글루코노락톤,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,글리세릴스테아레이트,C12-16알코올,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,C12-20알킬글루코사이드,카프릴릴글라이콜,스테아릴알코올,잔탄검,트로메타민,다이소듐이디티에이",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018323001ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183230&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
11,차앤박 옴므 랩 올인원 플루이드 110ml 증량기획,190.0,29000.0,152.63,"정제수,프로판다이올,부틸렌글라이콜,글리세린,에리스리톨,나이아신아마이드,1&2-헥산다이올,옥틸도데칸올,사이클로펜타실록세인,다이메티콘,판테놀,폴리메틸실세스퀴옥세인,아이소헥사데칸,카보머,글리세레스-25피씨에이아이소스테아레이트,다이메티콘/비닐다이메티콘크로스폴리머,트로메타민,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,알란토인,부테스-3,세테아릴메티콘,스테아레스-2,스테아레스-21,피이지-40스테아레이트,잔탄검,아데노신,소듐벤조트라이아졸릴부틸페놀설포네이트,소듐벤조에이트,실리카,다이메티콘크로스폴리머,소듐하이알루로네이트크로스폴리머,카프릴릴글라이콜,피이지-35캐스터오일,판토락톤,하이드롤라이즈드글라이코사미노글리칸,쇠비름추출물,구아이아줄렌,바이오사카라이드검-4,소듐하이알루로네이트,트라이부틸시트레이트,하이드롤라이즈드하이알루로닉애씨드,에틸헥실글리세린,하이알루로닉애씨드,트라이소듐이디티에이,향료,워터에센스,정제수,프로판다이올,다이프로필렌글라이콜,메틸글루세스-20,에리스리톨,나이아신아마이드,1&2-헥산다이올,자일리톨,부틸렌글라이콜,판테놀,글리세레스-25피씨에이아이소스테아레이트,다이에톡시에틸석시네이트,징크피씨에이,알란토인,소듐시트레이트,인도멀구슬나무잎추출물,소듐하이알루로네이트크로스폴리머,인도멀구슬나무꽃추출물,시트릭애씨드,하이드롤라이즈드글라이코사미노글리칸,쇠비름추출물,아이비고드열매추출물,판토락톤,글리세린,소듐하이알루로네이트,가지열매추출물,알로에베라꽃추출물,홀리바질잎추출물,하이드롤라이즈드하이알루로닉애씨드,울금뿌리추출물,참산호말추출물,피이지-35캐스터오일,에틸헥실글리세린,구아이아줄렌,하이알루로닉애씨드,트라이소듐이디티에이,향료",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016554503ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165545&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
12,바르테라 올인원 젤 모이스춰라이저,100.0,32000.0,320.0,"정제수,글리세린,다이프로필렌글라이콜,나이아신아마이드,1&2-헥산다이올,스쿠알란,맥아추출물,퀴노아씨추출물,씨솔트추출물,완두콩추출물,보리씨추출물,호밀추출물,아마씨추출물,락토바실러스/비수리잎/줄기발효여과물,서양톱풀추출물,레몬버베나잎추출물,그나팔리움레온토포디움꽃추출물,당아욱꽃추출물,레이디스맨틀추출물,마조람잎추출물,피피지-24-글리세레스-24,라임전초오일,바이오사카라이드검-1,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,잔탄검,폴리실리콘-11,다이메티콘,솔비탄아이소스테아레이트,폴리솔베이트60,아데노신,프로판다이올,소듐폴리아크릴레이트,사이클로펜타실록세인,카보머,피이지-60하이드로제네이티드캐스터오일,다이소듐이디티에이,부틸렌글라이콜,시트릭애씨드,트로메타민,토코페릴아세테이트,페녹시에탄올,소듐벤조에이트,향료,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013747002ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137470&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
13,AHC 온리포맨 포어 프레쉬 올인원에센스 더블 기획,240.0,38000.0,158.33,"정제수,부틸렌글라이콜,에탄올,나이아신아마이드,글리세린,1&2-헥산다이올,자일리톨,카라기난추출물,사탕수수추출물,밤껍질추출물,검정콩추출물,길경추출물,박하잎추출물,밀싹추출물,녹차추출물,라벤더꽃추출물,쌀추출물,덩굴월귤열매추출물,빌베리열매/잎추출물,블랙베리추출물,참깨추출물,펜틸렌글라이콜,실리카,에리스리톨,콜레스-24,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,트로메타민,글리세릴글루코사이드,카프릴릴글라이콜,아데노신,소듐피씨에이,디페닐디메치콘,트리에칠헥사노인,하이드로제네이티드레시틴,소듐하이알루로네이트,하이알루로닉애씨드,아스코빅애씨드,에칠헥실글리세린,디소듐이디티에이,향료",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014921405ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149214&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
14,브링그린 티트리 시카 포 맨 올인원 로션,225.0,28000.0,124.44,"정제수,티트리추출물,병풀추출물,글리세린,메틸트라이메티콘,에틸헥실스테아레이트,나이아신아마이드,하이드로제네이티드폴리,1&2-헥산다이올,폴리글리세릴-3다이스테아레이트,세테아릴알코올,티트리꽃/잎/줄기추출물,티트리잎오일,글리세릴글루코사이드,다이메티콘올,글리세릴스테아레이트,사이클로헥사실록세인,소듐스테아로일글루타메이트,카보머,알지닌,글리세릴스테아레이트시트레이트,판테놀,글루코오스,다이소듐이디티에이,베타인,마데카소사이드,에틸헥실글리세린",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015949108ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159491&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
15,포맨트 시그니처 올인원 에센스 96ml,96.0,28900.0,301.04,"정제수,에칠헥실메톡시신나메이트,호모살레이트,비스-에칠헥실옥시페놀메톡시페닐트리아진,다이프로필렌글라이콜,다이페닐실록시페닐트라이메티콘,에칠헥실살리실레이트,티타늄디옥사이드,나이아신아마이드,글리세릴스테아레이트,부틸옥틸살리실레이트,폴리글리세릴-2스테아레이트,스테아릭애씨드,스테아릴알코올,부틸렌글라이콜,사이클로펜타실록세인,솔비탄세스퀴올리에이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카프릴릴글라이콜,소듐메틸스테아로일타우레이트,트로메타민,펜틸렌글라이콜,하이드록시아세토페논,아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머,향료,트레할로오스,트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,에틸헥실글리세린,아데노신,다이소듐이디티에이,1&2-헥산다이올,병풀추출물,아라키딕애씨드,황금추출물,호장근뿌리추출물,팔미틱애씨드,소듐하이알루로네이트,트루로즈오브예리코추출물,스페인감초뿌리추출물,녹차추출물,올레익애씨드,로즈마리잎추출물,마트리카리아꽃추출물,대왕송잎추출물,칡뿌리추출물,달맞이꽃추출물,당느릅나무뿌리추출물,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐아세틸레이티드하이알루로네이트,시트로넬올,제라니올,헥실신남알,리날룰,",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015599404ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155994&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
16,차앤박 옴므 랩 안티에이징 솔루션 110ml 증량기획,190.0,32000.0,168.42,"정제수,글리세린,부틸렌글라이콜,나이아신아마이드,1&2-헥산다이올,부틸렌글라이콜다이카프릴레이트/다이카프레이트,사이클로펜타실록세인,세테아릴올리베이트,아이소스테아릴네오펜타노에이트,판테놀,솔비탄올리베이트,사이클로헥사실록세인,자일리틸글루코사이드,솔비탄스테아레이트,폴리솔베이트60,안하이드로자일리톨,소듐카보머,자일리톨,카보머,알지닌,알파-비사보롤,토코페릴아세테이트,라임전초오일,세라마이드엔피,스테아릴글리시레티네이트,알란토인,베르가모트오일,글루코오스,아데노신,라임전초오일,잔탄검,로즈마리잎오일,라벤더오일,바이오사카라이드검-4,마데카소사이드,소듐하이알루로네이트,판토락톤,캐모마일꽃오일,트라이소듐이디티에이,시트랄,제라니올,리모넨,리날룰",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016554703ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165547&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
17,우르오스 올인원 스킨컨디셔너 60g,60.0,25000.0,416.67,"전성분-정제수,사이클로펜타실록세인,에탄올,하이드로제네이티드폴리아이소부텐,글리세린,다이프로필렌글라이콜,펜틸렌글라이콜,아이소스테아릴네오펜타노에이트,마카다미아씨오일,다이메티콘,아미노메틸프로판다이올,다이글리세린,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,아데노신포스페이트,글리세릴글루코사이드,쿠푸아수씨버터,소듐폴리아크릴레이트,페녹시에탄올,아미노프로필다이메티콘,잔탄검,토코페롤,다이소듐이디티에이,다이메티콘/비닐다이메티콘크로스폴리머,부틸렌글라이콜,라임전초오일,라반딘오일,터펜틴,후추열매오일,아틀라스시다나무껍질오일,구주소나무잎오일,스타아니스열매/씨오일,돌콩배아추출물,서양측백나무잎오일,로즈마리잎오일,페퍼민트오일,리날룰,리모넨",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001597109ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000015971&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
18,엠도씨 화이트닝 스킨 플러스 로션 150ml,150.0,23000.0,153.33,"정제수,에탄올,메틸프로판다이올,베타인,글리세린,다이메티콘/비닐다이메티콘크로스폴리머,알부틴,폴리글루타믹애씨드,카바카바잎/뿌리/줄기추출물,우엉뿌리추출물,진흙버섯추출물,녹차추출물,로얄젤리추출물,동충하초추출물,효모추출물,스페인감초뿌리추출물,작약뿌리추출물,천궁뿌리추출물,칡뿌리추출물,쇠비름추출물,하이드로제네이티드레시틴,소듐하이알루로네이트,수용성콜라겐,알로에베라잎즙,C12-14파레스-12,옥틸도데세스-16,카보머,토코페릴아세테이트,부틸렌글라이콜,트로메타민,폴리글리세릴-10미리스테이트,다이포타슘글리시리제이트,카프릴릭/카프릭트라이글리세라이드,아데노신,다이소듐이디티에이,소듐메타바이설파이트,라피노오스,세라마이드엔피,셀룰로오스검,콜레스테롤,아이소세테스-10,아이소세테스-25,잔탄검,알지닌,폴리쿼터늄-51,향료,1&2-헥산다이올,페녹시에탄올,에틸헥실글리세린,아밀신남알,쿠마린,제라니올,리날룰,시트로넬올,헥실신나몰,리모넨,알파-아이소메틸아이오논",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0001/A00000001108604ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011086&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
19,쿤달 클래식맨즈 아쿠아 모이스트 올인원 로션 150ml,150.0,19500.0,130.0,"정제수,글리세린,부틸렌글라이콜,다이카프릴릴에터,나이아신아마이드,1&2-헥산다이올,클로렐라불가리스추출물,자일리틸글루코사이드,포트마리골드꽃추출물,자일리톨,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,하이드로제네이티드폴리데센,펜틸렌글라이콜,폴리메틸실세스퀴옥세인,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,비닐다이메티콘,카프릴릴메티콘,판테놀,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,다이메티콘올,트로메타민,글루코오스,베타인,프룩토올리고사카라이드,프룩토오스,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,에틸헥실글리세린,알란토인,세테아릴올리베이트,솔비탄올리베이트,아데노신,소듐파이테이트,베타-글루칸,토코페롤,에리스리톨,안하이드로자일리톨,카프릴릭/카프릭트라이글리세라이드,프로판다이올,소듐하이알루로네이트크로스폴리머,하이드롤라이즈드글라이코사미노글리칸,포스포리피드,세라마이드엔피,벤질글라이콜,콜레스테롤,시트릭애씨드,알지닌,피토스테롤,잔탄검,소듐벤조에이트,향료,리모넨,하이드록시시트로넬알,리날룰",skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017595701ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175957&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
20,디오디너리 100% 나이아신아마이드 파우더,20.0,8000.0,400.0,나이아신아마이드,skin/toner,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014397303ko.jpg?l=ko,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143973&dispCatNo=1000001000100080003&trackingCd=Cat1000001000100080003_Small
